院校名称,代码,状态,错误信息,日期
辽宁中医药大学,205,成功,,2026-06-08
沈阳音乐学院,206,成功,,2026-06-08
锦州医科大学,207,成功,,2026-06-08
大连民族大学,208,成功,,2026-06-08
沈阳航空航天大学,209,成功,,2026-06-08
大连海洋大学,210,成功,,2026-06-08
大连工业大学,211,成功,,2026-06-08
沈阳建筑大学,212,成功,,2026-06-08
辽宁工业大学,213,成功,,2026-06-08
渤海大学,214,成功,,2026-06-08
沈阳化工大学,215,成功,,2026-06-08
大连外国语大学,216,成功,,2026-06-08
沈阳理工大学,217,成功,,2026-06-08
大连大学,218,成功,,2026-06-08
大连医科大学,219,成功,,2026-06-08
大连交通大学,220,成功,,2026-06-08
沈阳师范大学,221,成功,,2026-06-08
辽宁科技大学,222,成功,,2026-06-08
辽宁石油化工大学,223,成功,,2026-06-08
沈阳大学,224,成功,,2026-06-08
辽宁师范大学,225,成功,,2026-06-08
沈阳药科大学,226,成功,,2026-06-08
沈阳工业大学,227,成功,,2026-06-08
沈阳农业大学,228,成功,,2026-06-08
东北财经大学,229,成功,,2026-06-08
中国医科大学,230,成功,,2026-06-08
西南民族大学,231,成功,,2026-06-08
成都理工大学,232,成功,,2026-06-08
新疆农业大学,233,成功,,2026-06-08
新疆医科大学,234,成功,,2026-06-08
新疆师范大学,235,成功,,2026-06-08
喀什大学,236,成功,,2026-06-08
新疆财经大学,237,成功,,2026-06-08
新疆艺术学院,238,成功,,2026-06-08
昌吉学院,239,成功,,2026-06-08
宁波大学,240,成功,,2026-06-08
浙江师范大学,241,成功,,2026-06-08
浙江工业大学,242,成功,,2026-06-08
浙江理工大学,243,成功,,2026-06-08
嘉兴大学,244,成功,,2026-06-08
西华大学,245,成功,,2026-06-08
浙江科技大学,246,成功,,2026-06-08
中国计量大学,247,成功,,2026-06-08
浙江海洋大学,248,成功,,2026-06-08
浙江农林大学,249,成功,,2026-06-08
浙江中医药大学,250,成功,,2026-06-08
温州医科大学,251,成功,,2026-06-08
杭州师范大学,252,成功,,2026-06-08
湖州师范大学,253,成功,,2026-06-08
台州学院,254,成功,,2026-06-08
绍兴大学,255,成功,,2026-06-08
温州大学,256,成功,,2026-06-08
浙江工商大学,257,成功,,2026-06-08
浙江财经大学,258,成功,,2026-06-08
中国美术学院,259,成功,,2026-06-08
浙江万里学院,260,成功,,2026-06-08
,261,无效,ID不存在,2026-06-08
山西大学,262,成功,,2026-06-08
西南科技大学,263,成功,,2026-06-08
成都中医药大学,264,成功,,2026-06-08
四川师范大学,265,成功,,2026-06-08
西华师范大学,266,成功,,2026-06-08
中国民用航空飞行学院,267,成功,,2026-06-08
西南石油大学,268,成功,,2026-06-08
山西农业大学,269,成功,,2026-06-08
成都信息工程大学,270,成功,,2026-06-08
山西医科大学,271,成功,,2026-06-08
山西师范大学,272,成功,,2026-06-08
四川轻化工大学,273,成功,,2026-06-08
西南医科大学,274,成功,,2026-06-08
山西财经大学,275,成功,,2026-06-08
川北医学院,276,成功,,2026-06-08
中北大学,277,成功,,2026-06-08
太原科技大学,278,成功,,2026-06-08
长治医学院,279,成功,,2026-06-08
忻州师范学院,280,成功,,2026-06-08
山西大同大学,281,成功,,2026-06-08
太原师范学院,282,成功,,2026-06-08
汕头大学,283,成功,,2026-06-08
深圳大学,284,成功,,2026-06-08
五邑大学,285,成功,,2026-06-08
广东工业大学,286,成功,,2026-06-08
华南农业大学,287,成功,,2026-06-08
广东海洋大学,288,成功,,2026-06-08
广州中医药大学,289,成功,,2026-06-08
广东外语外贸大学,290,成功,,2026-06-08
东莞理工学院,291,成功,,2026-06-08
广东石油化工学院,292,成功,,2026-06-08
广州大学,293,成功,,2026-06-08
广东医科大学,294,成功,,2026-06-08
广州医科大学,295,成功,,2026-06-08
广东药科大学,296,成功,,2026-06-08
韩山师范学院,297,成功,,2026-06-08
韶关学院,298,成功,,2026-06-08
岭南师范学院,299,成功,,2026-06-08
惠州学院,300,成功,,2026-06-08
嘉应学院,301,成功,,2026-06-08
广东财经大学,302,成功,,2026-06-08
广州体育学院,303,成功,,2026-06-08
广州美术学院,304,成功,,2026-06-08
星海音乐学院,305,成功,,2026-06-08
佛山大学,306,成功,,2026-06-08
上海理工大学,307,成功,,2026-06-08
上海工程技术大学,308,成功,,2026-06-08
上海海洋大学,309,成功,,2026-06-08
上海中医药大学,310,成功,,2026-06-08
上海师范大学,311,成功,,2026-06-08
上海第二工业大学,312,成功,,2026-06-08
上海海事大学,313,成功,,2026-06-08
安徽师范大学,314,成功,,2026-06-08
上海应用技术大学,315,成功,,2026-06-08
安徽工程大学,316,成功,,2026-06-08
上海电力大学,317,成功,,2026-06-08
上海对外经贸大学,318,成功,,2026-06-08
,319,无效,ID不存在,2026-06-08
上海立信会计金融学院,320,成功,,2026-06-08
,321,无效,ID不存在,2026-06-08
安徽建筑大学,322,成功,,2026-06-08
华东政法大学,323,成功,,2026-06-08
上海体育大学,324,成功,,2026-06-08
皖南医科大学,325,成功,,2026-06-08
上海音乐学院,326,成功,,2026-06-08
上海戏剧学院,327,成功,,2026-06-08
淮北师范大学,328,成功,,2026-06-08
上海杉达学院,329,成功,,2026-06-08
西安交通大学,330,成功,,2026-06-08
安徽科技工程大学,331,成功,,2026-06-08
西北农林科技大学,332,成功,,2026-06-08
淮南师范学院,333,成功,,2026-06-08
陕西师范大学,334,成功,,2026-06-08
安徽财经大学,335,成功,,2026-06-08
延安大学,336,成功,,2026-06-08
皖西学院,337,成功,,2026-06-08
合肥大学,338,成功,,2026-06-08
巢湖学院,339,成功,,2026-06-08
铜陵学院,340,成功,,2026-06-08
黄山学院,341,成功,,2026-06-08
昆明理工大学,342,成功,,2026-06-08
云南农业大学,343,成功,,2026-06-08
云南师范大学,344,成功,,2026-06-08
云南民族大学,345,成功,,2026-06-08
西南林业大学,346,成功,,2026-06-08
昆明医科大学,347,成功,,2026-06-08
云南中医药大学,348,成功,,2026-06-08
西安理工大学,349,成功,,2026-06-08
玉溪师范学院,350,成功,,2026-06-08
西安建筑科技大学,351,成功,,2026-06-08
西安科技大学,352,成功,,2026-06-08
楚雄师范学院,353,成功,,2026-06-08
西安石油大学,354,成功,,2026-06-08
红河学院,355,成功,,2026-06-08
云南财经大学,356,成功,,2026-06-08
陕西科技大学,357,成功,,2026-06-08
西安工程大学,358,成功,,2026-06-08
云南警官学院,359,成功,,2026-06-08
云南艺术学院,360,成功,,2026-06-08
西安工业大学,361,成功,,2026-06-08
大理大学,362,成功,,2026-06-08
西安邮电大学,363,成功,,2026-06-08
西藏大学,364,成功,,2026-06-08
陕西中医药大学,365,成功,,2026-06-08
咸阳师范学院,366,成功,,2026-06-08
青海大学,367,成功,,2026-06-08
渭南师范学院,368,成功,,2026-06-08
宝鸡文理学院,369,成功,,2026-06-08
青海师范大学,370,成功,,2026-06-08
陕西理工大学,371,成功,,2026-06-08
青海民族大学,372,成功,,2026-06-08
西安外国语大学,373,成功,,2026-06-08
北华大学,374,成功,,2026-06-08
西安财经大学,375,成功,,2026-06-08
西北政法大学,376,成功,,2026-06-08
长春大学,377,成功,,2026-06-08
西安体育学院,378,成功,,2026-06-08
长春理工大学,379,成功,,2026-06-08
西安音乐学院,380,成功,,2026-06-08
长春工业大学,381,成功,,2026-06-08
西安美术学院,382,成功,,2026-06-08
西安培华学院,383,成功,,2026-06-08
吉林农业大学,384,成功,,2026-06-08
湘潭大学,385,成功,,2026-06-08
吉首大学,386,成功,,2026-06-08
长春师范大学,387,成功,,2026-06-08
湖南科技大学,388,成功,,2026-06-08
长沙理工大学,389,成功,,2026-06-08
吉林师范大学,390,成功,,2026-06-08
南华大学,391,成功,,2026-06-08
湖南农业大学,392,成功,,2026-06-08
东北电力大学,393,成功,,2026-06-08
长春工程学院,394,成功,,2026-06-08
吉林建筑大学,395,成功,,2026-06-08
湖南理工大学,396,成功,,2026-06-08
湖南城市学院,397,成功,,2026-06-08
湖南工业大学,398,成功,,2026-06-08
湖南工程学院,399,成功,,2026-06-08
吉林化工大学,400,成功,,2026-06-08
中南林业科技大学,401,成功,,2026-06-08
湖南中医药大学,402,成功,,2026-06-08
湘南学院,403,成功,,2026-06-08
长春中医药大学,404,成功,,2026-06-08
吉林工程技术师范学院,405,成功,,2026-06-08
衡阳师范学院,406,成功,,2026-06-08
湖南工商大学,407,成功,,2026-06-08
通化师范学院,408,成功,,2026-06-08
湖南科技学院,409,成功,,2026-06-08
白城师范学院,410,成功,,2026-06-08
吉林外国语大学,411,成功,,2026-06-08
吉林财经大学,412,成功,,2026-06-08
吉林体育学院,413,成功,,2026-06-08
中南财经政法大学,414,成功,,2026-06-08
湖南文理学院,415,成功,,2026-06-08
怀化学院,416,成功,,2026-06-08
华中农业大学,417,成功,,2026-06-08
邵阳学院,418,成功,,2026-06-08
东北林业大学,419,成功,,2026-06-08
华中师范大学,420,成功,,2026-06-08
黑龙江大学,421,成功,,2026-06-08
佳木斯大学,422,成功,,2026-06-08
中南民族大学,423,成功,,2026-06-08
齐齐哈尔大学,424,成功,,2026-06-08
湖北大学,425,成功,,2026-06-08
哈尔滨理工大学,426,成功,,2026-06-08
黑龙江八一农垦大学,427,成功,,2026-06-08
长江大学,428,成功,,2026-06-08
哈尔滨医科大学,429,成功,,2026-06-08
江汉大学,430,成功,,2026-06-08
三峡大学,431,成功,,2026-06-08
武汉纺织大学,432,成功,,2026-06-08
湖北工业大学,433,成功,,2026-06-08
武汉工程大学,434,成功,,2026-06-08
湖北汽车工业学院,435,成功,,2026-06-08
武汉轻工大学,436,成功,,2026-06-08
湖北中医药大学,437,成功,,2026-06-08
湖北医药学院,438,成功,,2026-06-08
湖北师范大学,439,成功,,2026-06-08
黄冈师范学院,440,成功,,2026-06-08
黑龙江中医药大学,441,成功,,2026-06-08
牡丹江师范学院,442,成功,,2026-06-08
湖北工程学院,443,成功,,2026-06-08
哈尔滨商业大学,444,成功,,2026-06-08
湖北经济学院,445,成功,,2026-06-08
东北石油大学,446,成功,,2026-06-08
哈尔滨学院,447,成功,,2026-06-08
武汉体育学院,448,成功,,2026-06-08
黑龙江工程学院,449,成功,,2026-06-08
黑龙江科技大学,450,成功,,2026-06-08
湖北美术学院,451,成功,,2026-06-08
湖北民族大学,452,成功,,2026-06-08
牡丹江医科大学,453,成功,,2026-06-08
齐齐哈尔医学院,454,成功,,2026-06-08
武汉音乐学院,455,成功,,2026-06-08
黑龙江东方学院,456,成功,,2026-06-08
湖北科技学院,457,成功,,2026-06-08
郑州轻工业大学,458,成功,,2026-06-08
河南大学,459,成功,,2026-06-08
河南科技大学,460,成功,,2026-06-08
湖北文理学院,461,成功,,2026-06-08
河南农业大学,462,成功,,2026-06-08
河南理工大学,463,成功,,2026-06-08
华北水利水电大学,464,成功,,2026-06-08
华侨大学,465,成功,,2026-06-08
河南工业大学,466,成功,,2026-06-08
,467,无效,ID不存在,2026-06-08
福建农林大学,468,成功,,2026-06-08
黄河科技学院,469,成功,,2026-06-08
西藏民族大学,470,成功,,2026-06-08
集美大学,471,成功,,2026-06-08
仰恩大学,472,成功,,2026-06-08
福建师范大学,473,成功,,2026-06-08
福建理工大学,474,成功,,2026-06-08
泉州师范学院,475,成功,,2026-06-08
闽南师范大学,476,成功,,2026-06-08
闽江大学,477,成功,,2026-06-08
莆田学院,478,成功,,2026-06-08
郑州航空工业管理学院,479,成功,,2026-06-08
西北民族大学,480,成功,,2026-06-08
中原工学院,481,成功,,2026-06-08
河南医药大学,482,成功,,2026-06-08
兰州理工大学,483,成功,,2026-06-08
洛阳师范学院,484,成功,,2026-06-08
周口师范学院,485,成功,,2026-06-08
,486,无效,ID不存在,2026-06-08
南阳师范学院,487,成功,,2026-06-08
兰州交通大学,488,成功,,2026-06-08
商丘师范学院,489,成功,,2026-06-08
河南财经政法大学,490,成功,,2026-06-08
青岛农业大学,491,成功,,2026-06-08
甘肃农业大学,492,成功,,2026-06-08
许昌学院,493,成功,,2026-06-08
聊城大学,494,成功,,2026-06-08
西北师范大学,495,成功,,2026-06-08
临沂大学,496,成功,,2026-06-08
,497,无效,ID不存在,2026-06-08
甘肃中医药大学,498,成功,,2026-06-08
青岛大学,499,成功,,2026-06-08
兰州财经大学,500,成功,,2026-06-08
甘肃政法大学,501,成功,,2026-06-08
河西学院,502,成功,,2026-06-08
,503,无效,ID不存在,2026-06-08
海南大学,504,成功,,2026-06-08
内蒙古科技大学,505,成功,,2026-06-08
内蒙古民族大学,506,成功,,2026-06-08
青岛科技大学,507,成功,,2026-06-08
内蒙古工业大学,508,成功,,2026-06-08
青岛理工大学,509,成功,,2026-06-08
曲阜师范大学,510,成功,,2026-06-08
海南师范大学,511,成功,,2026-06-08
海南医科大学,512,成功,,2026-06-08
,513,无效,ID不存在,2026-06-08
贵州师范大学,514,成功,,2026-06-08
贵州医科大学,515,成功,,2026-06-08
贵州民族大学,516,成功,,2026-06-08
内蒙古农业大学,517,成功,,2026-06-08
遵义医科大学,518,成功,,2026-06-08
内蒙古师范大学,519,成功,,2026-06-08
贵州财经大学,520,成功,,2026-06-08
贵州中医药大学,521,成功,,2026-06-08
黔南民族师范学院,522,成功,,2026-06-08
遵义师范学院,523,成功,,2026-06-08
,524,无效,ID不存在,2026-06-08
内蒙古医科大学,525,成功,,2026-06-08
山东工商学院,526,成功,,2026-06-08
山东工艺美术学院,527,成功,,2026-06-08
山东建筑大学,528,成功,,2026-06-08
内蒙古财经大学,529,成功,,2026-06-08
广西医科大学,530,成功,,2026-06-08
广西师范大学,531,成功,,2026-06-08
桂林电子科技大学,532,成功,,2026-06-08
桂林理工大学,533,成功,,2026-06-08
山东交通学院,534,成功,,2026-06-08
山东财经大学,535,成功,,2026-06-08
广西科技大学,536,成功,,2026-06-08
山东科技大学,537,成功,,2026-06-08
桂林医科大学,538,成功,,2026-06-08
玉林师范学院,539,成功,,2026-06-08
山东理工大学,540,成功,,2026-06-08
南宁师范大学,541,成功,,2026-06-08
山东农业大学,542,成功,,2026-06-08
广西民族大学,543,成功,,2026-06-08
宁夏大学,544,成功,,2026-06-08
北方民族大学,545,成功,,2026-06-08
宁夏医科大学,546,成功,,2026-06-08
齐鲁工业大学,547,成功,,2026-06-08
山东体育学院,548,成功,,2026-06-08
山东艺术学院,549,成功,,2026-06-08
泰山学院,550,成功,,2026-06-08
山东第一医科大学,551,成功,,2026-06-08
潍坊学院,552,成功,,2026-06-08
山东第二医科大学,553,成功,,2026-06-08
烟台大学,554,成功,,2026-06-08
鲁东大学,555,成功,,2026-06-08
北京化工大学,556,成功,,2026-06-08
中国农业大学,557,成功,,2026-06-08
中国传媒大学,558,成功,,2026-06-08
北京城市学院,559,成功,,2026-06-08
,560,无效,ID不存在,2026-06-08
北方工业大学,561,成功,,2026-06-08
中央戏剧学院,562,成功,,2026-06-08
北京电影学院,563,成功,,2026-06-08
中央美术学院,564,成功,,2026-06-08
北京电子科技学院,565,成功,,2026-06-08
中央财经大学,566,成功,,2026-06-08
北京服装学院,567,成功,,2026-06-08
中华女子学院,568,成功,,2026-06-08
中国政法大学,569,成功,,2026-06-08
北京工商大学,570,成功,,2026-06-08
中国音乐学院,571,成功,,2026-06-08
北京建筑大学,572,成功,,2026-06-08
北京协和医学院,573,成功,,2026-06-08
中国戏曲学院,574,成功,,2026-06-08
北京联合大学,575,成功,,2026-06-08
中国人民公安大学,576,成功,,2026-06-08
中国青年政治学院,577,成功,,2026-06-08
北京农学院,578,成功,,2026-06-08
中国劳动关系学院,579,成功,,2026-06-08
北京石油化工学院,580,成功,,2026-06-08
外交学院,581,成功,,2026-06-08
,582,无效,ID不存在,2026-06-08
首钢工学院,583,成功,,2026-06-08
首都医科大学,584,成功,,2026-06-08
北京舞蹈学院,585,成功,,2026-06-08
北京物资学院,586,成功,,2026-06-08
首都体育学院,587,成功,,2026-06-08
,588,无效,ID不存在,2026-06-08
首都师范大学,589,成功,,2026-06-08
北京印刷学院,590,成功,,2026-06-08
华北电力大学（保定）,591,成功,,2026-06-08
北京语言大学,592,成功,,2026-06-08
,593,无效,ID不存在,2026-06-08
国际关系学院,594,成功,,2026-06-08
河北师范大学,595,成功,,2026-06-08
河北医科大学,596,成功,,2026-06-08
华北理工大学,597,成功,,2026-06-08
河北农业大学,598,成功,,2026-06-08
燕山大学,599,成功,,2026-06-08
承德医学院,600,成功,,2026-06-08
河北北方学院,601,成功,,2026-06-08
河北工程大学,602,成功,,2026-06-08
河北建筑工程学院,603,成功,,2026-06-08
应急管理大学,604,成功,,2026-06-08
,605,无效,ID不存在,2026-06-08
河北地质大学,606,成功,,2026-06-08
石家庄铁道大学,607,成功,,2026-06-08
唐山学院,608,成功,,2026-06-08
邢台学院,609,成功,,2026-06-08
中国人民警察大学,610,成功,,2026-06-08
中央司法警官学院,611,成功,,2026-06-08
广东职业技术学院,612,成功,,2026-06-08
广东工贸职业技术学院,613,成功,,2026-06-08
,614,无效,ID不存在,2026-06-08
广东机电职业技术学院,615,成功,,2026-06-08
广东建设职业技术学院,616,成功,,2026-06-08
广东交通职业技术学院,617,成功,,2026-06-08
,618,无效,ID不存在,2026-06-08
广东省外语艺术职业学院,619,成功,,2026-06-08
广东水利电力职业技术学院,620,成功,,2026-06-08
,621,无效,ID不存在,2026-06-08
山东师范大学,622,成功,,2026-06-08
,623,无效,ID不存在,2026-06-08
唐山师范学院,624,成功,,2026-06-08
廊坊师范学院,625,成功,,2026-06-08
河北体育学院,626,成功,,2026-06-08
衡水学院,627,成功,,2026-06-08
石家庄学院,628,成功,,2026-06-08
邯郸学院,629,成功,,2026-06-08
广东文艺职业学院,630,成功,,2026-06-08
广东亚视演艺职业学院,631,成功,,2026-06-08
广州工程技术职业学院,632,成功,,2026-06-08
广州工商学院,633,成功,,2026-06-08
,634,无效,ID不存在,2026-06-08
广州民航职业技术学院,635,成功,,2026-06-08
广州南洋理工职业学院,636,成功,,2026-06-08
,637,无效,ID不存在,2026-06-08
广州铁路职业技术学院,638,成功,,2026-06-08
,639,无效,ID不存在,2026-06-08
揭阳职业技术学院,640,成功,,2026-06-08
罗定职业技术学院,641,成功,,2026-06-08
茂名职业技术学院,642,成功,,2026-06-08
广东东软学院,643,成功,,2026-06-08
广东南华工商职业学院,644,成功,,2026-06-08
汕头职业技术学院,645,成功,,2026-06-08
深圳职业技术大学,646,成功,,2026-06-08
私立华联学院,647,成功,,2026-06-08
中山火炬职业技术学院,648,成功,,2026-06-08
珠海艺术职业学院,649,成功,,2026-06-08
保定学院,650,成功,,2026-06-08
沧州师范学院,651,成功,,2026-06-08
沧州医学高等专科学校,652,成功,,2026-06-08
防灾科技学院,653,成功,,2026-06-08
,654,无效,ID不存在,2026-06-08
上海海关学院,655,成功,,2026-06-08
,656,无效,ID不存在,2026-06-08
,657,无效,ID不存在,2026-06-08
河北女子职业技术学院,658,成功,,2026-06-08
河北美术学院,659,成功,,2026-06-08
保定电力职业技术学院,660,成功,,2026-06-08
电子科技大学,661,成功,,2026-06-08
上海邦德职业技术学院,662,成功,,2026-06-08
上海城建职业学院,663,成功,,2026-06-08
上海出版印刷高等专科学校,664,成功,,2026-06-08
,665,无效,ID不存在,2026-06-08
上海电子信息职业技术学院,666,成功,,2026-06-08
,667,无效,ID不存在,2026-06-08
上海震旦职业学院,668,成功,,2026-06-08
上海东海职业技术学院,669,成功,,2026-06-08
,670,无效,ID不存在,2026-06-08
上海工艺美术职业学院,671,成功,,2026-06-08
,672,无效,ID不存在,2026-06-08
上海海事职业技术学院,673,成功,,2026-06-08
上海济光职业技术学院,674,成功,,2026-06-08
,675,无效,ID不存在,2026-06-08
上海建桥学院,676,成功,,2026-06-08
上海交通职业技术学院,677,成功,,2026-06-08
